"","Endothelial","Mural","U1","U2","U4","Microglia","OPC","Astrocyte","oRG","tRG","vRG","RG-div2","RG-div1","IPC-div1","IPC-div2","IPC-nEN1","IPC-nEN2","IPC-nEN3","nEN-early1","nEN-early2","nEN-late","EN-V1-1","EN-PFC1","EN-PFC2","EN-PFC3","EN-V1-3","EN-V1-2","Choroid","RG-early","Glyc","MGE-RG1","MGE-RG2","MGE-div","MGE-IPC1","MGE-IPC2","MGE-IPC3","nIN1","nIN2","nIN3","nIN4","nIN5","IN-CTX-MGE1","IN-CTX-MGE2","IN-CTX-CGE1","IN-CTX-CGE2","IN-STR","IPC-nEN2:nEN-late:1","nEN-early2:nEN-late:2","IPC-nEN1:nEN-late:3","EN-PFC3:EN-V1-2:1","EN-V1-3:EN-V1-2:2","nEN-early1:EN-V1-2:3","EN-PFC2:EN-V1-2:4","EN-V1-1:EN-PFC1:1","EN-PFC2:EN-PFC1:5","Glyc:EN-PFC1:6","IPC-nEN1:EN-PFC1:7","nIN1:nIN3:1","nIN5:nIN3:2","nIN4:nIN2:1","nIN5:nIN2:3","IN-CTX-MGE1:IN-CTX-MGE2:1","IN-CTX-CGE1:IN-CTX-CGE2:1","IN-CTX-MGE1:IN-CTX-CGE2:2","IN-STR:IN-CTX-CGE2:3","nIN5:IN-CTX-CGE2:4","IPC-nEN1:IN-CTX-CGE2:8","MGE-div:MGE-IPC2:1","IPC-div1:IPC-div2:1","MGE-IPC1:MGE-IPC2:2","IPC-div1:MGE-IPC2:3","MGE-RG2:MGE-IPC2:4","RG-early:MGE-IPC2:5","MGE-IPC3:MGE-IPC2:6","IPC-nEN3:MGE-IPC2:7","oRG:tRG:1","vRG:tRG:2","RG-div2:RG-div1:1","vRG:RG-div1:3","MGE-RG1:RG-div1:4","OPC:Astrocyte:1","MGE-RG1:Astrocyte:5","IPC-nEN3:Astrocyte:8","Endothelial:Mural:1","U2:U1:1","Endothelial:U1:2","Choroid:U1:3","Microglia:U1:4","Microglia:U4:5","IPC-nEN3:U4:9","IPC-nEN1:U4:10"
"ExN",2.3185920732377e-05,4.52319785409811e-05,4.31331791593299e-05,1.62690588981969e-05,5.65908232865575e-05,9.53477877490403e-05,2.57589735624665e-05,1.67597253873313e-05,1.96593351957005e-05,4.26037186308738e-05,3.00320383074257e-05,2.47054154159408e-05,1.4385191814765e-05,2.41254521046005e-05,3.57866372553065e-05,0.000516971765931317,0.000567588954535402,0.000443182333301863,0.000414781226829088,0.00056833324222797,0.000608214137558446,9.44995626081708e-05,6.06487390358477e-05,0.000129079029803565,0.000355224503950879,9.43798814396001e-05,0.000213004357992141,6.64305500008943e-05,8.25795187722399e-05,0.000175134153275742,8.31876907525003e-05,0.000134748028649128,5.27317663055436e-05,2.17960255717545e-05,4.88046531250839e-05,0.000284240870382832,0.000320345482238671,0.00031324350029504,0.000300992595913537,0.000296389646948121,0.000299206909448527,0.000283156385030316,0.000265481040786504,0.000287629775387424,0.000226052471860114,0.000313949670687526,1.81932738655064e-06,1.55532442205749e-06,1.51897457584449e-06,8.00373826324625e-07,5.3496404125989e-07,8.48953320139486e-07,5.84045945553654e-07,3.35270801357991e-07,4.12594890431305e-07,7.15667525706931e-07,9.67373441106789e-07,1.12045818201672e-06,1.07390786946497e-06,1.15731253136206e-06,9.65080236951132e-07,1.0241677967301e-06,9.87478238233805e-07,8.7966466165739e-07,9.94120963533695e-07,8.53386336199467e-07,8.93449769116228e-07,2.0360078528888e-07,1.00086379197595e-07,1.25924921402639e-07,1.05891958506081e-07,2.84664057747173e-07,2.8350174151738e-07,6.65088376931164e-07,7.95745599945982e-07,1.15771547900986e-07,9.66983835248219e-08,6.46915121953018e-08,7.45054231648133e-08,1.77255569990998e-07,1.44301077612835e-07,1.510513239889e-07,4.15941534433511e-07,3.34899299058148e-07,2.3276540076249e-07,2.53706903674156e-07,4.1369837480679e-07,6.77140839625423e-07,5.43268179375947e-07,5.3579386432237e-07,5.86945318470978e-07
"PgG2M",0.000143695196071195,0.000154594437357093,0.000190777370478255,0.000695529641571711,0.000129641007902535,8.24377518096989e-05,0.000177817493576344,0.000432464728390451,0.000636443213718744,0.000587382606980127,0.000752805307584931,0.000942282898730077,0.00142749999177699,0.00175099224722994,0.00147364886533212,0.000233625407160601,6.46528552385093e-05,0.00073436426569091,3.5613138940941e-05,1.97040545561605e-05,3.00311186223736e-05,7.74238952961926e-06,6.10103307690991e-06,5.42557602317365e-06,2.30281974850726e-05,5.15213872865885e-06,6.39141020031853e-06,0.000190300193455845,0.00102977103665098,4.67767721848891e-05,0.000618574061757094,0.00070526807354422,0.00107105504881095,0.00162391301038227,0.00118221669974225,0.000242847412581201,5.5168739374623e-05,3.97356312173566e-05,7.95599725769189e-05,8.51254789259456e-05,6.66736382989913e-05,2.62978806997262e-05,2.02901618239755e-05,4.05416795096593e-05,2.15665686100821e-05,3.05122999674122e-05,1.5249252978225e-07,1.06855009469231e-07,4.30476982843264e-07,4.11631443634589e-08,2.89075265297431e-08,6.52282755647408e-08,3.75349331739062e-08,3.00310311457253e-08,3.47101791440164e-08,1.59523469019897e-07,2.57073985963376e-07,2.42884441294613e-07,2.35885958362715e-07,2.38297013289486e-07,2.03114878499488e-07,8.72484224799581e-08,1.16987182220091e-07,8.91702266840959e-08,1.00254182216047e-07,1.37591821832148e-07,3.04156727544719e-07,4.59776667102559e-06,5.3382108750502e-06,4.83727244243953e-06,4.3722484696471e-06,3.14985166319844e-06,3.10089345503265e-06,1.7987040029285e-06,1.63897968625269e-06,2.2807764353336e-06,2.19781521008296e-06,3.84518963404837e-06,2.60982417836399e-06,2.20004773651382e-06,1.76192306960225e-06,1.71014486776251e-06,1.43440008023865e-06,1.51709282650972e-06,2.89577985036436e-06,1.90739527930278e-06,1.64416445951939e-06,1.14701600305397e-06,1.07180990166189e-06,1.18223306328195e-06,5.78137922061415e-07
"OPC1",0.000225078167121605,0.000238301322723776,0.000281957182240486,0.000448978422204316,0.000270927406778912,0.000107174880925922,0.000547962508271098,0.00075426416079643,0.000850895369389033,0.000758153545275616,0.000952812480200812,0.000888802218353552,0.000866121434981348,0.000787847181323309,0.000799867070235754,0.00012094856902057,4.73744728230662e-05,0.000555277377338917,3.65930993518113e-05,2.35018784323179e-05,3.32228142283672e-05,4.10559832664109e-05,4.31013786993459e-05,2.87313569985473e-05,3.0815567019967e-05,2.84881087232187e-05,1.94322208739205e-05,0.000196231137280744,0.000667219217656073,8.80200068375745e-05,0.000735749165726685,0.000591981821262678,0.000583865840317719,0.000748205240256326,0.000595633873817004,0.000197109013366311,8.5830647874621e-05,8.19752332671959e-05,9.82537618899678e-05,0.000101446576725273,9.05298259509577e-05,6.71264783154039e-05,6.86340352394223e-05,7.98860432878593e-05,6.90206588946783e-05,5.94456375060242e-05,1.27147715199583e-07,9.34016131634484e-08,2.43423588004964e-07,7.23252546556533e-08,8.40763740868942e-08,9.18646425939405e-08,9.0933260186338e-08,1.81121315658445e-07,1.26445590903288e-07,3.1592688025927e-07,2.47741272668724e-07,3.31968419104832e-07,3.21768059210887e-07,3.48623429178764e-07,2.88579758098812e-07,2.5443070413946e-07,2.86340563321075e-07,2.34381398373961e-07,2.19057297617373e-07,2.2621702933315e-07,3.95401083906951e-07,2.40078159472559e-06,2.62796296752326e-06,2.35216499004455e-06,2.15805036443533e-06,1.9876484577574e-06,1.98937381057187e-06,1.23516131484205e-06,1.21284582237869e-06,2.99428510100829e-06,2.7915324399706e-06,2.86969725636497e-06,2.45815386177707e-06,2.37640796053878e-06,3.97689774494615e-06,2.71798417231528e-06,1.69940811147178e-06,2.32206491792576e-06,2.54772944729433e-06,2.10263632253991e-06,1.75897342287043e-06,1.34932647340689e-06,1.77339190926872e-06,1.64481691973893e-06,8.06311861798147e-07
"End",0.00117217910152845,0.000798737189739356,0.000672046531429182,0.00059260383059139,0.000255366309526949,0.000380587126538507,0.000306374362449403,0.000641921919558934,0.000643628353192371,0.00060592310040845,0.000652774687176662,0.000537044839101646,0.000489493392989492,0.000374211471165584,0.000368699414479007,7.46761098008578e-05,5.93049030181863e-05,0.000345643273295163,6.02255929378003e-05,5.25048974427517e-05,6.84585401082611e-05,4.53870843584732e-05,4.62160292298601e-05,4.20084398015007e-05,5.75861167396904e-05,4.04521521551114e-05,4.35139121550111e-05,0.000477617329631687,0.000484462506154528,0.000155986778674084,0.00062631653990673,0.00044025397277069,0.000314285586781567,0.000410418406601023,0.000302636932659294,0.000238947848180352,0.00014314985621945,0.000139338007466466,0.00016487241020677,0.000150470510569202,0.000165473542963082,0.000107871892213074,0.000116172856319841,0.000119537213501446,9.28187477456432e-05,0.00010422069412658,1.9631590564936e-07,1.57823309020677e-07,1.99040820671313e-07,1.44518054943673e-07,1.37653572346006e-07,1.5046091125537e-07,1.3876187447583e-07,1.97942460907281e-07,1.62255198760101e-07,5.29396190928922e-07,3.2336103855799e-07,5.56637474047069e-07,5.65384235321562e-07,5.51461117414456e-07,4.80637893245688e-07,4.1912300615493e-07,4.07830616642695e-07,3.59576668600001e-07,3.61680046745222e-07,3.70950565108776e-07,5.29646179849352e-07,1.25750910208781e-06,1.23293126641637e-06,1.26144820358763e-06,1.09154033257438e-06,1.25951449918965e-06,1.37361447339646e-06,1.04029232409421e-06,8.7620149973529e-07,2.31969902829829e-06,2.02152671069227e-06,1.68612788733945e-06,1.62025432002115e-06,1.81093373192614e-06,2.75447612558952e-06,1.95413468685178e-06,1.2542443388201e-06,9.88559289840368e-06,4.72218119449206e-06,6.28888789527202e-06,4.80266783040961e-06,4.04744822051685e-06,2.84371377146814e-06,1.95185057426923e-06,9.79579828305333e-07
"ExDp1",2.09118623367895e-05,2.29506476867067e-05,4.13762927198305e-05,2.65905631252275e-05,5.58802548516266e-05,1.65865447811044e-05,0.000168655534074353,5.03046764396527e-05,2.28463216966979e-05,1.73489730265324e-05,2.15106474721122e-05,1.66567569338086e-05,1.5994849860343e-05,2.04236678176931e-05,1.79206708531757e-05,3.58112837067656e-05,4.86837076403347e-05,3.13986238762909e-05,0.000342256109185212,0.00015165661937403,0.000176566899552959,0.000864846042281461,0.000822689718769043,0.000585366350344691,0.000306798373828201,0.000515088676034201,0.000358707090443791,6.88287217228677e-05,1.90582186698894e-05,0.000196311724531176,3.53026985969637e-05,2.31765826173165e-05,1.53908257180087e-05,1.63033518214354e-05,2.14441160408916e-05,5.39932256241224e-05,0.000115892690317502,0.000104393958751761,0.000102893140615332,7.34693318833406e-05,8.05544904518399e-05,0.000163774677844379,0.000166801861562109,0.000144081789609179,0.000175619456512707,0.000175141816645898,3.28752064504511e-07,3.42381683343438e-07,2.31056827319282e-07,9.75103933425809e-07,1.35987103253673e-06,1.12682726173912e-06,1.52770211557197e-06,3.60497789184897e-06,2.2018305848944e-06,1.51278414472606e-06,7.49025965803674e-07,3.92449578248345e-07,3.28285233555941e-07,3.3750009706394e-07,2.93099359359968e-07,6.18365104879614e-07,6.24210973777231e-07,5.41558350973557e-07,5.71763229946764e-07,3.82991826658408e-07,5.47739744055253e-07,7.42098043715196e-08,6.35455437823393e-08,6.06487626865689e-08,5.43887502644186e-08,6.46293904753722e-08,6.38986368171755e-08,1.28219545163508e-07,9.75495820217779e-08,7.45596131196918e-08,6.58153238163332e-08,5.37034832174747e-08,5.38080596495955e-08,9.74132176165781e-08,7.81215576626328e-07,3.74763369314101e-07,2.09397876583338e-07,2.20181948246409e-07,2.54385204347715e-07,2.13978865821432e-07,3.89984260827975e-07,2.61287902264553e-07,3.58045257406676e-07,3.15733132833054e-07,3.54823687778219e-07
"Per",0.000628150723190266,0.000774721467462181,0.000660179771211478,0.000633613307029562,0.000248864536960515,0.000261373881581268,0.000324542279626806,0.00068227239298289,0.000759938972518449,0.000706356349638009,0.000816497950430322,0.000697117251490231,0.000636170420058931,0.000519803708093304,0.000523970496301443,8.69808743615224e-05,5.0407702541141e-05,0.000432983821267496,3.7682681876106e-05,3.25383290328707e-05,4.27359797373565e-05,2.50461257498829e-05,2.43685778171374e-05,2.06397593749844e-05,3.60588292923227e-05,2.16281832045731e-05,2.17179391026817e-05,0.000363105069236024,0.000566726461425627,0.000131910167693341,0.000712736360197766,0.000511461359311512,0.00041156743449717,0.00053251791537406,0.000405441756280532,0.000226007814253455,0.000113466867568694,0.000113492529734107,0.000138548704181849,0.000141092189577776,0.000133943575707429,8.3906316940598e-05,9.31376750198664e-05,9.5237616383718e-05,7.126386945248e-05,8.02239184652215e-05,1.4550618177709e-07,1.10798030952367e-07,1.9735494784403e-07,8.22632111193585e-08,7.60381941113137e-08,8.943347261159e-08,7.51902566772457e-08,1.06837719122378e-07,9.36542887589048e-08,4.29713980097412e-07,2.78336711225224e-07,4.55284172071333e-07,4.60304968541801e-07,4.84155978591821e-07,4.06017991752891e-07,3.31288492693455e-07,3.19362334757571e-07,2.82771158314832e-07,2.81623649773245e-07,3.03660742652438e-07,4.59909789234625e-07,1.66436608478968e-06,1.72983583787379e-06,1.6528976692228e-06,1.47396033038525e-06,1.55083559756653e-06,1.63572557796129e-06,1.13199369770997e-06,1.01895175906083e-06,2.72540702453074e-06,2.45509009535552e-06,2.1866627158461e-06,2.0230310755363e-06,2.1332200353546e-06,2.92714826110617e-06,2.16627862424653e-06,1.39488424397177e-06,6.94551796804427e-06,4.74217303687699e-06,5.0277167908326e-06,3.74997414480408e-06,2.98525432393847e-06,2.36691259887128e-06,1.78730718621422e-06,8.84692478167806e-07
"Mic",0.00051089679091929,0.000450709004714444,0.000460270545726884,0.000459360249183094,0.000229863527886011,0.000502273029007507,0.000279758055891338,0.000568745929674099,0.000665237253996739,0.000646766221536085,0.00071512104335627,0.000623099516763888,0.000560020612159897,0.00044643723426675,0.000461577373936517,0.000102503628248198,7.20113093778709e-05,0.000429040540225607,6.32659418372322e-05,6.23613816885548e-05,7.62459515146663e-05,5.16357792035823e-05,4.90508554690088e-05,4.3733196716094e-05,6.64307017088976e-05,4.44361131970537e-05,4.91074035385607e-05,0.000288563544403641,0.000509326510126001,0.00015112653633714,0.000613225200055786,0.00046297097846543,0.000364941703428792,0.000452581871417738,0.000361265838873823,0.000246915513677204,0.000179544520216966,0.000189241395426862,0.00021930160273297,0.000201005659727556,0.000196189654531764,0.000174435273511328,0.000171673620556129,0.000174197295517811,0.000133158181056878,0.000135645231129817,2.29108195606779e-07,1.86620624387629e-07,2.56705926070436e-07,1.64968047157095e-07,1.53663435418434e-07,1.61878543955575e-07,1.46820275303255e-07,2.16786736908723e-07,1.7310352692643e-07,5.20893272106571e-07,3.46754385547337e-07,7.19278699900593e-07,6.97154003464177e-07,7.41391715503025e-07,6.19617661400267e-07,6.45782513727368e-07,5.90626971930899e-07,5.3597133279678e-07,4.9939489833839e-07,4.89284769182889e-07,5.86092076656639e-07,1.47778054520295e-06,1.5047528839574e-06,1.43230765152269e-06,1.2811873394049e-06,1.3811889522879e-06,1.46823019264123e-06,1.09915819849028e-06,9.95385847314423e-07,2.43809292910241e-06,2.17236022552894e-06,1.94021955813537e-06,1.79101568291737e-06,1.85619914655151e-06,2.47768442332124e-06,1.85804108733366e-06,1.26136921614898e-06,4.80821078950302e-06,3.35858461643783e-06,3.52224482146746e-06,2.84364191597651e-06,3.83683165498325e-06,2.64576896398342e-06,1.86815809826259e-06,9.82956119131469e-07
"ExM",7.25429324017343e-06,1.17488332930867e-05,1.37681786343491e-05,3.45430624122263e-06,2.01664950021135e-05,2.72962083641214e-05,3.03002492145278e-05,8.67378891425313e-06,3.71472292440465e-06,6.60434036256944e-06,5.96073828368583e-06,3.48311072103442e-06,1.89898023300601e-06,4.90721854089755e-06,3.8976482598598e-06,0.000129485180753239,0.000171327704454702,4.58262521260559e-05,0.00038065333570919,0.000456288216913244,0.000381633360071563,0.000271421290687879,0.000209192903912552,0.000464089864467619,0.000553056555088684,0.000454139770664269,0.000617596917570206,2.06949604490713e-05,1.63317895903747e-05,0.000126602845518792,1.73368943817323e-05,2.4183847760736e-05,7.85445664427732e-06,4.45472283207696e-06,8.57056213557294e-06,7.04183826377391e-05,0.000104506251973062,0.00010788922491149,0.000104755947003894,0.000107295387572384,9.84228030381542e-05,0.000129759795073556,0.000123214547735154,0.000111370814136384,0.000114251185193997,0.000137082987151696,8.3079403786757e-07,9.61762618629215e-07,6.34506097071436e-07,1.67939984002403e-06,1.55141177157001e-06,1.25418111099133e-06,1.33137580381067e-06,1.03484160664528e-06,1.01962679826386e-06,8.14751587693331e-07,6.21536257786771e-07,3.77114395373412e-07,3.57412003259996e-07,4.08265630317327e-07,3.330055988005e-07,4.71968034066082e-07,4.38401534591977e-07,3.97549958521397e-07,4.38213119962272e-07,3.40034260971284e-07,4.56158329285574e-07,3.29395237281868e-08,1.4781642860414e-08,2.19325939250854e-08,1.73582974577284e-08,5.05330251983821e-08,5.461887644951e-08,1.55012828330263e-07,1.20039600812655e-07,1.92270807084155e-08,1.7529447387609e-08,8.99452438247098e-09,1.25826046511018e-08,3.7619312973386e-08,1.39905875964293e-07,7.7584633278715e-08,8.89435234571223e-08,9.35557290878389e-08,6.88425099673817e-08,7.28698023790558e-08,1.2572681303182e-07,1.97622180315931e-07,1.74342114283063e-07,1.66798148898211e-07,2.5501854909133e-07
"IP",8.3315205889104e-05,0.000101756861746239,0.000105450594579548,0.000209373505519714,0.000106732560340481,9.66849990323679e-05,8.83298009741575e-05,0.000228135899396444,0.000345192988645592,0.000370088357440539,0.000425481642464962,0.000442404059580466,0.000460483540495217,0.000494908613823468,0.000523681000439361,0.000591811723350591,0.000435114027404577,0.000905249723070201,0.000218545386739123,0.000264297271189884,0.000313487316992357,3.26601325830473e-05,2.04179967398828e-05,3.10996867646983e-05,0.000134773509026401,2.10502986080825e-05,5.38207932171985e-05,0.000125283084267098,0.000439162531483733,0.000126457596687491,0.00037987611040694,0.000414611508280077,0.000385962975683806,0.000445902676839676,0.000385060812440403,0.000314325374540367,0.000205028452436468,0.000187077595761131,0.000208271703411491,0.000213044549584886,0.000197526181720674,0.000139972507442409,0.000125597010955917,0.000178932307530709,0.000115145395320388,0.000173537267206192,1.18060520897781e-06,8.89672223774262e-07,1.35425739839945e-06,2.6392264400643e-07,1.63410703986637e-07,3.94352637276231e-07,2.2227698816897e-07,1.15347900698842e-07,1.59787129114917e-07,4.62717178009627e-07,7.85405601691402e-07,7.45066023391614e-07,7.11057831701802e-07,7.60440493603025e-07,6.34569816715414e-07,4.96910639919094e-07,5.59546151558623e-07,4.62724101832583e-07,5.41562771016769e-07,5.18600353814823e-07,7.02095562316277e-07,1.56650054382664e-06,1.68513631071008e-06,1.46169252375268e-06,1.36662894027147e-06,1.32920938208757e-06,1.33368750529913e-06,1.18869417725045e-06,1.56342164467453e-06,1.3323650963797e-06,1.24800962179717e-06,1.4729154974619e-06,1.18244027755925e-06,1.17006066049224e-06,9.08747399048407e-07,9.10136157604328e-07,1.06682317616879e-06,9.25116418561699e-07,1.0782751236062e-06,8.73434836763646e-07,9.29584298283773e-07,9.12531728915021e-07,8.7014600194013e-07,9.65475494995951e-07,6.74283660336071e-07
