"","Endothelial","Mural","U1","U2","U4","Microglia","OPC","Astrocyte","oRG","tRG","vRG","RG.div2","RG.div1","IPC.div1","IPC.div2","IPC.nEN1","IPC.nEN2","IPC.nEN3","nEN.early1","EN.V1.1","EN.PFC1","EN.PFC2","EN.PFC3","EN.V1.3","EN.V1.2","Choroid","RG.early","Glyc","MGE.RG1","MGE.RG2","MGE.div","MGE.IPC1","MGE.IPC2","MGE.IPC3","nIN1","nIN2","nIN3","nIN4","nIN5","IN.CTX.MGE1","IN.CTX.MGE2","IN.CTX.CGE1","IN.CTX.CGE2","IN.STR","IPC.nEN1.nEN.late.3","EN.PFC3.EN.V1.2.1","EN.V1.3.EN.V1.2.2","nEN.early1.EN.V1.2.3","EN.PFC2.EN.V1.2.4","EN.V1.1.EN.PFC1.1","EN.PFC2.EN.PFC1.5","Glyc.EN.PFC1.6","IPC.nEN1.EN.PFC1.7","nIN1.nIN3.1","nIN5.nIN3.2","nIN4.nIN2.1","nIN5.nIN2.3","IN.CTX.MGE1.IN.CTX.MGE2.1","IN.CTX.CGE1.IN.CTX.CGE2.1","IN.CTX.MGE1.IN.CTX.CGE2.2","IN.STR.IN.CTX.CGE2.3","nIN5.IN.CTX.CGE2.4","IPC.nEN1.IN.CTX.CGE2.8","MGE.div.MGE.IPC2.1","IPC.div1.IPC.div2.1","MGE.IPC1.MGE.IPC2.2","IPC.div1.MGE.IPC2.3","MGE.RG2.MGE.IPC2.4","RG.early.MGE.IPC2.5","MGE.IPC3.MGE.IPC2.6","IPC.nEN3.MGE.IPC2.7","oRG.tRG.1","vRG.tRG.2","RG.div2.RG.div1.1","vRG.RG.div1.3","MGE.RG1.RG.div1.4","OPC.Astrocyte.1","MGE.RG1.Astrocyte.5","IPC.nEN3.Astrocyte.8","Endothelial.Mural.1","U2.U1.1","Endothelial.U1.2","Choroid.U1.3","Microglia.U1.4","Microglia.U4.5","IPC.nEN3.U4.9","IPC.nEN1.U4.10"
"ExN",-42.3957488665097,-35.5285753765964,-33.44706745804,-65.5374628659635,-34.9300618967571,8.97049577895633,-50.480920740985,-67.186111321618,-78.3472682797775,-78.1661358773065,-75.9042515088536,-87.6598600284877,-82.3282294409049,-56.8151478822464,-67.7475637633356,99.0260480346868,136.882200526045,26.5793887987169,88.2847657371497,-36.0257348926049,-43.4046910282584,-40.4174141225374,31.8630834819886,-54.9288924079778,-21.3473233421568,-27.088070098582,-71.4176866432504,17.4592268728553,-68.5933013199352,-57.1653722057959,-62.6341446729278,-57.7489014177387,-61.6735696908008,31.3130944045627,60.7582662055964,70.1108242536247,49.1989224375892,52.7777819689896,58.7054378336101,42.4785399526909,43.0037853440437,45.2660772189958,29.1867004329836,66.9117295713782,120.48308679994,5.56821720744846,-30.1455653539127,41.4295791731308,-15.4556299321638,-40.2290061609285,-32.5430111034739,5.59882689033109,94.6267995314827,56.3147407053107,58.9684515901819,63.9285902962658,62.7048736647788,43.6273978851987,38.169620191323,43.1268058846564,63.2904073749916,67.6458834836391,86.2775955759584,-62.5150914517637,-63.3034700989131,-61.0093763863461,-62.7950650007283,-66.0264860601336,-69.4386906789211,-16.9869091712516,10.3978253482457,-79.3373309908001,-78.187472103084,-90.6201589044942,-88.2912777573854,-79.3695410405889,-67.712441949588,-77.0225966023507,-46.0768624214338,-43.4286327047705,-50.1864050134646,-55.0932975911887,-43.5857502454342,-9.1864758556963,-32.5868906770658,-34.9655979273343,27.6303292123003
"PgG2M",-2.86454733317938,-1.53877904430285,2.18054689416741,79.5108540468889,-3.28723635570766,-2.58989187820941,-4.16439909078513,7.09386328448278,15.2946655603424,14.7515421256072,17.7817211528954,45.8363075032616,99.9478895972266,103.850688567027,94.3932016014391,14.9320506091529,-15.0821320803673,53.5332479099227,-34.4548060077275,-32.7460885901891,-33.4905300530665,-40.5675311220367,-38.1019550259233,-41.2629686915799,-38.3851408334789,12.10182782907,105.349790418062,-25.1279371549013,29.0675262741406,61.0285808282667,92.3249617380355,102.568136634622,96.9611457231942,16.9687624157776,-31.5754013696698,-32.64802042571,-24.6962190330897,-19.1972415679346,-25.2206088473581,-36.6217586910668,-34.6203334767828,-31.7478058684705,-32.9064008656887,-42.4520385257401,2.59382183277798,-41.0689919391822,-43.6608189037178,-43.4308768367281,-43.6103500732933,-33.4430587277813,-37.4642197394774,-35.5385725451924,-21.8184556160924,-28.5296417426893,-27.0519019789439,-26.7274718993611,-27.4297815166514,-36.0335451991493,-33.3045076547487,-36.3823462826889,-43.2171076590619,-36.7636448796742,-31.5354952945569,96.1371844495124,104.941232779002,103.998833135407,105.044614803636,98.5758651729749,105.425731077571,82.3653328298452,77.5446834021863,15.3900257566884,17.8762848652762,79.7864043051096,51.3651902959861,41.2518455766589,1.28096353904383,18.3952779307483,46.8312323293638,-2.02279344266354,35.6362479175555,14.0835756761767,15.1500702348295,5.27316485714172,1.09461974852352,16.7999534575341,-1.77165784467255
"OPC1",31.1109700156722,34.0075756903497,33.4881523376484,51.480339080171,45.0590529289705,6.54581101806588,100.657095807497,85.478422828096,77.498272831013,76.250634418978,75.1781993544538,82.9754220214591,70.050671746532,47.438404749819,54.1601297606653,-20.4896513812723,-41.9896501796769,23.833624238158,-54.9495300632239,-29.6359449302185,-24.0980316318639,-46.644592592838,-67.737809041052,-43.4450614633058,-55.5709187624178,21.0536876115469,66.919508292104,-12.9017784044717,84.1241505821366,72.4674347362683,56.2187257844427,49.1496284254465,52.7798579527709,-7.74317003421175,-40.6545532820775,-38.5315501332744,-35.4331431876007,-34.7282578657655,-35.185573082278,-40.9412193203331,-36.8131391114182,-39.8548136318951,-39.9346690292937,-51.5246207586947,-31.0036262116128,-66.1932034381504,-54.4925344650069,-61.7634188058351,-55.6644114742342,-27.1528996837008,-37.7574534526343,-24.9654261793287,-33.9216777818425,-38.8382552967105,-37.591375059721,-38.3324102432453,-38.7266554478968,-39.5500087659331,-41.8874949553424,-43.213846188449,-53.1462591917778,-47.3979879655294,-32.1809218405069,54.8050693365994,52.1304366960397,52.9014562926865,53.2629746102648,67.6806852479852,68.5154021200474,43.2638702380285,36.3106612445817,78.0846594302237,77.2754540809815,82.0112052833006,84.9733951822197,89.7796154057968,103.761274125663,106.733137214476,101.251016722843,36.1439070777179,43.6693829937725,44.7716092570103,36.2261206409508,23.2031203376254,46.7210871261711,71.8482722992151,37.4063157457147
"End",135.006041076211,87.2324639148163,63.0883385718703,42.9267380269941,36.4121522545589,53.1414307026218,23.4718311294676,38.345732194663,30.7876471039125,32.5928921263444,22.5873166884769,14.0536279820148,4.79464460511015,-2.47012387046661,-2.56859306191552,-23.0702679430313,-30.2793230277503,-6.31830599777587,-37.5825068711549,-15.2111884766907,-14.3867673998165,-24.3137156176002,-40.5228771236667,-21.9358690682296,-31.6101567095675,55.6731681865235,13.2895462775225,8.90585387073084,39.6916157424009,15.8866324098848,0.257166793803138,0.616565785073979,-2.04364925745365,1.86223791743005,-14.2912810604436,-13.5940031736128,-10.6752687560324,-13.4677513567288,-6.08035588742712,-17.6830977814396,-15.4961089765236,-17.9905658792504,-17.0905946139591,-21.2424756749987,-28.159585221675,-37.0582955516887,-28.7862724401973,-39.588221082709,-30.0590738524158,-14.9812380493328,-19.4726831015584,-8.03197880613154,-27.9701859238311,-12.4413160295176,-9.27900595773883,-13.8034695950009,-11.8408391110636,-16.730282864322,-18.0434837526976,-17.8631214472425,-20.9347214537127,-16.7808420961314,-9.7799340310922,-0.905951961432422,-2.53535478348815,-0.0562258404898326,-1.16917297571035,6.15082734055976,10.2861843169966,8.82180145522309,0.35897073696756,32.6711579461852,27.2090205381862,9.66320085551535,20.6030318888261,33.6329852406659,33.8775717323762,37.2081926486508,30.059388988138,119.546534069351,60.1159566463822,102.283710390551,84.11958790121,74.9606956927193,68.441345285914,66.413793450813,50.0849327044472
"ExDp1",-23.5615746860541,-25.5023097608252,-19.416719758787,-37.0840822649851,-28.2222854670068,-21.7236651397185,0.872213063439894,-44.4354689592302,-57.1323430750895,-61.0195743328035,-57.8420221513262,-64.4974023381273,-53.8203122629789,-38.9070462376548,-45.1676749072616,-36.2015920541427,-27.7281950733551,-68.6839256802858,48.691698851947,112.786275020726,110.091278901934,115.618111858099,48.708732422842,89.3611566278146,59.6468450555414,-15.6943899866095,-52.3458711618889,29.7380889058162,-61.6500300026354,-63.6096604169871,-46.4180636549688,-39.5279622318335,-43.8927568155511,-50.5231441469577,-18.5061234025353,-20.4628418522179,-27.9940990337864,-38.1210014729629,-32.7742945244518,-5.09746103254767,-2.80653755788412,-12.431082757703,0.346797337102338,8.50231951689144,-33.7451072387655,60.3544575905723,82.5832975048518,71.6963223432197,105.451411131141,112.128872918428,114.136780552549,77.3701973448857,27.2648781236557,-23.6894572098334,-28.6303682179483,-29.5262600927828,-28.7941235030935,-4.0091071683099,-5.61645635294248,-4.79135324550263,1.80011013731773,-12.111316972453,-2.02951430849001,-45.2474787288959,-42.7846367351726,-42.7716071906933,-43.3034126185123,-55.7781987535752,-54.9446432775855,-67.0036499295647,-75.6946114318737,-60.2882810039624,-59.800285486406,-63.5243902349224,-67.4668601504815,-66.7986122760492,-26.0208838128966,-52.3149150968615,-73.6349238155585,-26.8206609674187,-29.3930337750131,-32.2017601977245,-26.7935355993554,-28.1754901000529,-39.1776309299946,-60.3266317106537,-46.6873613102391
"Per",81.4695167748944,116.805974016846,83.3029075466621,81.1568366211909,38.4335512176667,35.5433375581021,37.0585264552734,55.4773165788193,44.1335962859516,47.2816619464378,41.2899480371678,36.536373339433,27.1317964089474,13.068748277359,16.1123642037625,-35.7344329488198,-38.6632635976377,4.67489705261317,-53.0655056701907,-26.5751333547209,-22.666774079044,-42.7590543957279,-51.0388232646511,-32.1277496474656,-49.2177505070909,54.9333177479603,34.2978186312512,-0.479764976306076,53.3779853004457,40.3229302560594,17.8038016878577,16.108336015446,14.2375291338915,-0.540618451981978,-24.2705045926771,-24.0801442094986,-19.3385688839182,-17.2505298877235,-15.987268356784,-30.5910709161504,-27.3056051791961,-26.7015751817609,-26.4154341828594,-34.9135300924093,-39.8545862049289,-56.1942507230986,-43.4143751086395,-56.0908321959515,-49.7819986528563,-24.9440309313806,-32.8188205868196,-14.0152958035622,-34.9800797683248,-22.1935096490555,-19.2609381927436,-21.3910403476682,-20.8538000373468,-29.3069231480962,-27.2550283350872,-29.2952449144211,-34.5962160232054,-28.6566770424631,-21.1342599559417,16.1775028472742,15.0896948071958,16.6317424776873,16.3410075475412,29.278379873768,32.8202043200989,21.1623528470977,14.9607535034817,46.1770014123196,43.6865223751951,34.1030642978902,41.9635563987493,51.0921782019036,53.1335714970104,57.9074801657182,51.5448339893011,102.715781340542,88.6556119972979,108.558824255296,89.8721389862246,67.3605089444863,65.1085374936489,65.4110687252254,41.5370906918877
"Mic",74.5662118923749,70.0233038768033,66.6256848208216,52.4857357853048,31.4453499705682,124.137049961188,34.207342440665,54.9877945292959,41.6265538885065,45.3250305248312,35.2394450724152,32.1988812893654,24.35641293052,12.2979366801768,13.8498298002845,-25.5808659059655,-35.1630894363895,6.61819378923975,-47.9897119475892,-24.1817407993821,-21.0280504084839,-37.9444282560152,-48.5903863183748,-33.6019936456078,-49.377957602493,39.3811394746128,32.2160100356488,0.818561800868872,46.7119776652379,33.0440133890879,16.5564507338426,15.3453453969326,13.6608911425631,1.46768379368162,-12.0656577145476,-8.59786730060208,-5.14527201549959,-5.69999149162612,-5.24063287634706,-11.9992572545577,-10.7145374694798,-12.4719893165814,-14.9040051482018,-20.1385768135511,-31.9028579919776,-54.0936385382892,-45.2455164420144,-55.1737448453584,-48.0241167000233,-22.9807947100041,-31.5556128503102,-11.2968803353649,-28.5151920797563,-8.65454752669915,-6.9274720185185,-7.39991119421461,-7.42834639207597,-11.4975119971646,-13.9608629784588,-13.1385571669171,-17.3592785297502,-12.7946743457036,-9.25707757148641,15.1912366757224,13.4049674554391,15.5168172256176,14.7890580906615,25.3311373979486,29.7013431884117,21.8430060697443,16.4573527864104,43.7240742078906,39.042370950062,29.7398259311309,36.2648268155197,43.8104646424649,49.2938810742339,52.4476563608648,52.7579260698722,78.9272397128352,66.4877024635437,91.6034716112349,71.3314082746645,122.100642220177,82.237726978504,81.6761514912043,55.7660364576996
"ExM",-40.1468428186216,-53.90465057159,-56.0612672474255,-67.5903366372146,-71.5545402754018,-41.7022655056818,-45.4552325112384,-74.4402211725044,-80.1095110314349,-90.9386571748745,-83.9359635021896,-88.5346700397791,-68.6386689717056,-55.4164011684681,-65.2455477592538,-41.254468902368,-24.042109005902,-116.554577386529,49.2404588066321,44.5845903477234,29.3338636143157,114.279865467338,123.132225964554,127.315134979066,157.939836811906,-45.7384176059858,-86.8435432482013,-14.0397209658392,-88.7622849181509,-99.5811879819958,-69.4363358482232,-57.523632908554,-65.7066197023346,-91.5134308221297,-72.2366375673603,-68.6296852289264,-71.4950631000286,-64.6511939965172,-71.7274044774761,-52.474142579479,-51.3126020165964,-66.3619079701601,-49.1992932130087,-48.7086892345826,-33.2468428916409,151.462791537831,142.948500971251,105.046381509036,119.840692524652,38.5361983404647,76.1292787512589,17.5589976164482,-18.5211408186939,-74.0593600000071,-74.1070638665627,-68.737187061681,-71.7280553450234,-52.6128928881462,-58.99316014847,-57.8097805209545,-55.8949043034422,-65.5047764377283,-55.1867859666336,-67.6346998082108,-61.2406472390508,-62.871672872,-62.9519780310415,-84.6575171454901,-87.9350431717363,-111.840096460838,-130.93819174855,-85.9602779887175,-85.4296043129262,-80.2000339965789,-86.1389700807487,-89.7348697654724,-63.6572649640639,-79.5257105590029,-123.645127968792,-49.2506196641144,-66.7544437261955,-62.5304249652509,-58.5669704542446,-60.1522809244139,-81.6005033675331,-107.900239389648,-97.5891985252581
"IP",-2.7443201808382,-0.231793612602115,-7.08883803314446,20.763956582291,-0.748394611856437,10.4178707570686,-14.2268086674334,5.05590850832071,15.7703317572817,24.8905582058205,19.0717202185302,30.7143289237707,37.3995358416662,45.3695240638307,49.078062497974,121.557680014668,96.1715580642924,143.861250828803,-0.0925691567980624,-46.8190657666057,-46.1815636282318,-59.3699030365211,-38.7873285060535,-61.8262954272156,-59.2426148475261,6.06119386278475,46.375548141045,-4.54374414991958,24.6089765636714,48.0801821003195,44.1979563050873,40.3870214718992,41.8471206235691,36.7557685063603,-13.5934371768832,-17.3194158122096,-10.6600800911875,-0.200844393429942,-5.78118111933317,-44.185990343049,-45.4520203176254,-21.8831428918742,-45.7145464212925,-14.9642459834467,115.478617781188,-53.1760661373017,-60.9974095421532,-34.1649429481425,-53.5114024129131,-47.0146666185166,-51.32634327048,-25.8340114142393,64.754678861817,-12.4391808411425,-9.05700012258474,-9.51847225674193,-9.76465984154776,-45.3709062904141,-35.2460041244513,-41.4325756540198,-28.0480593330629,-18.0411300927855,37.416158009519,43.2587810073638,48.1231932449902,42.7764628240354,45.9612875322957,49.6898227837667,48.934029068679,52.0824577233697,117.094267741933,20.2832131342811,20.0104517511148,35.1221791056445,28.4775907898316,26.3601341789486,-3.67747836157669,10.7959953078486,58.128212994057,-1.5739801491421,5.13759995208964,1.4327152155242,4.95158262999417,8.98882834822899,6.5643184936436,37.7309668815562,45.5201163637328
"ExDp2",-18.3046700772629,-20.9633677083767,-15.1140595395409,-36.3766710709945,-21.2036532161764,-17.8779022307337,9.668824407193,-40.8878267054217,-52.0544447102581,-57.2855095746386,-53.4179315839971,-56.2682433035343,-50.451250496371,-40.9969168095609,-43.9168453042857,-32.0890277555046,-28.8291271685808,-56.4591350303962,36.236585153945,119.098654850761,128.878427762744,97.7814408238357,34.0401928745437,80.3304220576373,39.4025584107792,-9.77981091466931,-67.7512465718785,27.4899250836645,-58.3641654295798,-68.8888206901264,-48.6083547429973,-42.6029336084598,-45.3721612721336,-45.0720142841237,-18.756267826717,-20.0007170449156,-25.7065729048675,-31.6419194694071,-29.8916867933323,-6.18587737873512,-3.69990314427603,-14.6617366114037,1.04538717868667,5.57236247824018,-30.6489297488272,40.9010544262917,68.491357273918,57.530448635395,87.6527040150384,125.198314281762,116.839732363531,70.0387510240742,22.301980403399,-22.7251352540474,-26.8401245228382,-26.275905286024,-26.3083947535439,-5.01016449334406,-6.07989898124664,-5.51105639946771,-0.196204588784876,-12.959817111435,-3.36565720179873,-47.2445174671244,-43.8277123577693,-46.0967794243925,-45.6990979647446,-61.4721409796214,-67.836110308636,-78.6272481447709,-81.9879098689024,-55.4301702548152,-55.1339601628682,-56.058390322741,-59.4326856667526,-61.9278449759473,-13.3446953827318,-35.8414172365828,-65.2520895409738,-21.4476858585101,-24.8313819387413,-25.2694449325301,-20.2596406999319,-22.9940833830628,-28.9368086804601,-47.6025092500421,-38.9404416052304
"ExM-U",-34.1524678205996,-36.1244814090772,-29.3975458933536,-49.6870009199687,-38.0982660399565,-35.3884288420132,-17.0928634702343,-45.5952161340481,-53.2682704035259,-56.9554375777704,-55.8739518607277,-62.7761408477361,-55.2603305013783,-41.6629466075245,-48.6744780244759,-54.8800048515405,-48.5320121510995,-79.1598914401241,27.3936182522397,89.0570236315627,86.094660443811,116.975297632029,55.9783809667964,133.225846166794,111.191920134862,-29.5189777756074,-68.79219862264,8.64375494031963,-68.3630893359587,-81.231454387364,-52.8602676027577,-43.7202344628057,-48.3629821894629,-74.8197451293386,-41.2549381417271,-40.3755635891728,-48.7094862732411,-47.8212589274266,-49.9521741470066,-23.6005861607602,-18.9776837109958,-35.8756270056722,-17.2187684904328,-13.7673943260691,-55.1131308882607,90.3213049033703,119.497582105182,76.9469148375488,105.954203534427,89.0815001552848,100.930293028869,43.6772902043798,-6.67397371779326,-46.3523425739726,-48.8101049856224,-46.0646764826989,-47.3553479772174,-21.6185126978057,-26.5318475670648,-25.2198414280107,-20.6840808526642,-34.9744797196544,-36.7625099201085,-50.6792266197497,-46.130500061158,-47.5845084864275,-47.6674610266117,-66.2651701177835,-70.0622161916851,-92.9317889314021,-96.4543874068352,-55.9341975289931,-56.4280870057941,-61.8857377135391,-62.4778692255271,-67.5549514128804,-34.7102373816976,-52.1052748753387,-84.6769777206638,-40.1579038373307,-41.2397235464214,-48.0936887599367,-42.8325270511723,-49.1450208825998,-53.0265201142072,-78.7920385347869,-77.9671380760612
"InCGE",-12.6834699536705,-9.63257770653103,-9.95952308795699,-31.5637533646975,17.8139725272483,5.47534435762727,-18.3688532223033,-32.8073810549692,-43.7697073953804,-48.3757270609953,-46.0101285467671,-54.5814391374076,-50.2024185022069,-34.90905420538,-42.9560492503793,-23.5722084102956,-13.8134520721876,-41.5815462597012,-24.538478293693,-22.4025521679715,-20.700655839584,-25.2281180449496,-29.5765899680254,-30.3570131555183,-30.5531011532802,-1.51224308884645,-52.6999898478068,14.0605902366469,-38.3655862456449,-34.6801247030941,-32.097985481325,-32.6281038477515,-25.1633872030997,65.6203143310399,116.778825546595,112.296800801591,112.532995454223,107.057058878956,117.034452184304,119.135820357584,118.509880831726,120.303346777428,126.63320561932,90.0459076669117,-20.2333749189344,-31.865434757009,-32.5820256535277,-33.3520162987439,-29.3091508143093,-21.932356052756,-24.908211253381,-2.14775030255819,-14.0669885450491,116.085768267174,117.607602465854,113.198889833942,116.380678035532,120.340175787615,125.615317054143,126.75897534907,115.30875175325,118.698636162258,76.1090044587548,-28.9359782334333,-40.0254142399863,-32.4036701971707,-36.7065659521179,-39.868507169396,-47.0246038190599,17.1152961884652,-25.7093901775671,-46.6311517258733,-46.8689530608636,-57.9767548193354,-55.6554486308039,-48.1084311360244,-28.3091854661417,-38.4925884217952,-42.0831506580029,-12.1779069789558,-20.5955222697759,-17.7638180904254,-9.2147294344161,-0.953061308333497,11.9690577831967,-4.90761882246822,34.4741046056516
"InMGE",-15.8596449998921,-12.754557947945,-9.73049554483939,-30.5127076988082,12.2364110999865,2.48832905664599,-23.4527134908381,-43.9535592552612,-54.6061208603989,-54.2712202522196,-53.1160077927502,-57.8695573058074,-52.2000693023683,-39.9293154728393,-44.7613932893175,-34.2360440689599,-20.9415238045262,-44.1631670467576,-25.8154402603606,-18.8393196893704,-14.8258601270863,-23.4926014908115,-28.9216071735345,-24.9476736165977,-28.996562715472,-3.951797370576,-56.0889249136712,9.29644225721531,-43.4543290616636,-34.7558930346092,-36.817770599144,-38.3963534685342,-31.7269523531015,79.8156152895136,117.28822020432,122.479506393765,119.793063283878,117.862427357272,116.112187792617,129.938356075454,128.478282626261,117.345067070071,101.984655255081,102.045300250884,-30.3922203965817,-31.4348963519528,-28.9696880266399,-32.3532784402638,-28.3818020395257,-16.8542598838622,-20.8172860149443,-1.39131696257303,-18.2983235568379,120.190878683338,119.591552716327,125.36568926181,123.587573453089,129.872677178055,111.992815571689,124.26228843474,118.686453836395,123.51434506187,74.1349760281075,-34.9175462420675,-43.9221294746532,-38.3406849182335,-41.728718508507,-43.2836590559528,-50.2798575212289,8.33501991908243,-32.1235589776691,-55.1389876097023,-54.6480228489347,-58.5118110313867,-59.6772729827517,-53.2679204403801,-38.8572669673728,-51.7027799692351,-50.0920274525096,-15.6756844372502,-19.6409024770169,-20.387111942115,-10.9275529014879,-3.49728152440774,5.08172258950019,-11.3223246970874,25.272389687992
"oRG1",19.2258577211741,17.1049690833485,18.5509419038314,17.4268943709512,30.1914451741406,1.58310009146157,24.2730002498333,87.9772065176658,115.907028099945,111.526932781311,121.171239913337,110.874477108417,46.5473987764822,9.91974097450373,20.9044859440695,-20.5093564865378,-29.8263173062644,39.380829916402,-44.535781448616,-38.8873629443577,-38.651834936661,-42.1383933502022,-43.560953113442,-39.5278513121885,-41.9033834991757,9.50538044216616,52.0788448554075,-17.6517060108039,94.8694356486501,58.8923929031482,17.4533972252571,12.641631751614,10.7731025041238,-18.3850231120362,-40.5046588087838,-40.1066371342414,-39.9457830734167,-39.7292736920395,-37.8050089638235,-44.0198412315911,-44.7117050917657,-45.34007705382,-47.3769555178205,-43.1263947470192,-26.5964676770712,-45.0362391282595,-43.1380389136871,-48.2859199089197,-45.5936812243935,-39.3593712502892,-42.8260798128698,-33.6269096786179,-38.9516327913662,-40.8070711593705,-39.7200643070411,-40.746309633733,-40.7160608142345,-44.9552129623744,-47.8991059164815,-48.4595003374114,-48.0388198011542,-45.5804663045663,-39.4046453100816,14.0686021410813,15.1571659330508,13.4785529571181,15.0081656975399,36.4553605047481,45.2363604986496,26.8975035232598,39.7273346484243,116.794900191241,120.101287847374,82.2401255150724,114.420907919252,107.394276873196,60.7690685933662,86.9004084766942,87.4387084167023,19.9669826101846,19.5735075481661,24.6930262540958,18.0179940994038,9.69087280844609,29.0372293363666,54.2887918149313,20.9929575174813
"PgS",-4.05044556612471,-2.32219790574451,0.260177672017475,68.1213462425536,1.9167011542689,-2.02752395447142,-2.1511090703699,11.7201715914182,20.6651926631829,23.2120540735563,22.4940752865744,55.0255830272736,88.152875255459,80.1754453536431,92.3447515489276,24.93854419594,-10.1423318359053,53.62342203919,-35.0240166905082,-33.9404190795112,-32.5924107602622,-35.7236098901029,-36.3625887444124,-33.4002862815259,-36.2037450872304,9.86226656398037,86.9776411985478,-23.8380913966003,32.741017186385,76.7890808010271,95.1396157000581,78.668581530849,91.5236341884163,24.4735711945184,-34.604324701013,-36.2238571657522,-28.9851740930366,-23.0093003923891,-29.8280193563368,-35.1476132189459,-34.9220403913605,-33.5723894006389,-33.1777079565591,-42.0559635958563,8.92395613910469,-39.0622070537761,-36.6111468606359,-38.2432263759149,-37.8932713812344,-33.4688257555597,-36.2399574664861,-36.2484006152252,-19.2249200203469,-32.604511952818,-31.7159060976488,-31.451939876798,-32.2121555417878,-35.3892764910847,-34.1984852077067,-36.5416623630418,-42.6158429047534,-39.2979871088497,-32.6991375175526,93.5336117235286,88.3720388741796,86.5946604179563,88.1154103314935,90.1467424723195,90.2104057323629,77.3485753270776,66.6154524044483,22.1430507962265,23.4246481406224,76.982936502502,51.7237080619144,42.1215411687577,4.92623705341221,22.0040238593976,43.5984665454537,-3.19344484080275,33.1003779050802,12.4171581814096,12.1754998408914,3.46465539084427,4.13869996479223,21.7023076164285,4.01040266213768
