"","Endothelial","Mural","U1","U2","U4","Microglia","OPC","Astrocyte","oRG","tRG","vRG","RG.div2","RG.div1","IPC.div1","IPC.div2","IPC.nEN1","IPC.nEN2","IPC.nEN3","nEN.early1","nEN.early2","nEN.late","EN.V1.1","EN.PFC1","EN.PFC2","EN.PFC3","EN.V1.3","EN.V1.2","Choroid","RG.early","Glyc","MGE.RG1","MGE.RG2","MGE.div","MGE.IPC1","MGE.IPC2","MGE.IPC3","nIN1","nIN2","nIN3","nIN4","nIN5","IN.CTX.MGE1","IN.CTX.MGE2","IN.CTX.CGE1","IN.CTX.CGE2","IN.STR","IPC.nEN2.nEN.late.1","nEN.early2.nEN.late.2","IPC.nEN1.nEN.late.3","EN.PFC3.EN.V1.2.1","EN.V1.3.EN.V1.2.2","nEN.early1.EN.V1.2.3","EN.PFC2.EN.V1.2.4","EN.V1.1.EN.PFC1.1","EN.PFC2.EN.PFC1.5","Glyc.EN.PFC1.6","IPC.nEN1.EN.PFC1.7","nIN1.nIN3.1","nIN5.nIN3.2","nIN4.nIN2.1","nIN5.nIN2.3","IN.CTX.MGE1.IN.CTX.MGE2.1","IN.CTX.CGE1.IN.CTX.CGE2.1","IN.CTX.MGE1.IN.CTX.CGE2.2","IN.STR.IN.CTX.CGE2.3","nIN5.IN.CTX.CGE2.4","IPC.nEN1.IN.CTX.CGE2.8","MGE.div.MGE.IPC2.1","IPC.div1.IPC.div2.1","MGE.IPC1.MGE.IPC2.2","IPC.div1.MGE.IPC2.3","MGE.RG2.MGE.IPC2.4","RG.early.MGE.IPC2.5","MGE.IPC3.MGE.IPC2.6","IPC.nEN3.MGE.IPC2.7","oRG.tRG.1","vRG.tRG.2","RG.div2.RG.div1.1","vRG.RG.div1.3","MGE.RG1.RG.div1.4","OPC.Astrocyte.1","MGE.RG1.Astrocyte.5","IPC.nEN3.Astrocyte.8","Endothelial.Mural.1","U2.U1.1","Endothelial.U1.2","Choroid.U1.3","Microglia.U1.4","Microglia.U4.5","IPC.nEN3.U4.9","IPC.nEN1.U4.10"
"ExN",-41.6595824272567,-34.3046650244648,-28.5659411932652,-63.064817418565,-25.1052797951384,12.2455616513683,-51.4508640613791,-72.0577981347901,-72.1673307619882,-66.5091047880006,-69.8149186509613,-77.0038962624701,-69.4229172008607,-51.6654751524631,-57.0362013532897,146.117617597691,185.641758787064,21.7791243104699,70.4149951242202,139.680020976274,131.111020790538,-35.4596027202481,-46.6666054465182,-29.8823079829632,11.8603584351384,-45.8230946191594,-9.66227330080303,-17.7382177930867,-69.1149876922219,16.6861121477684,-65.1550604509924,-50.8407037013166,-54.141858729983,-56.5806541615116,-53.3454384684801,65.8264744092823,58.5654297129991,59.3118014622899,43.0449187599225,45.4673956768762,64.4372490132823,41.0557243471964,38.6389666507478,36.3481497839999,28.5516926495052,61.2761601522602,174.324059556663,174.079286175072,181.773881370564,-0.117566904492525,-27.6839912036874,22.9699841368853,-12.0927119207138,-42.3167332770178,-31.0289772288106,2.06892990557346,97.9114378546032,54.6807767128785,62.1549236442783,57.2220743551961,61.2835576087214,41.4461866450305,33.3733407154297,39.3915588499052,54.9328522112584,61.3985863681157,80.279627146043,-54.5663334427189,-56.0071934273769,-56.8529175729245,-56.9707299334013,-60.0214905654704,-65.0035513216,1.91696513233883,14.5275593855015,-70.3409253804726,-70.7221504015914,-76.9221988396845,-77.6790594113141,-74.0828120436288,-71.5913700142428,-79.2319517675542,-48.3818292668949,-41.5739944232891,-49.2169364407742,-51.3524529349203,-34.4509044228773,-5.72078527896623,-20.8082639396901,-30.3708247822792,23.0574824482172
"PgG2M",-2.39872771645613,-1.07330752434458,0.913147857551337,61.455976313649,-1.13515562832552,-1.76348071709472,-5.44903053501546,6.87282420327476,18.529440649918,18.2107662945219,19.4546439887382,50.4108139444375,90.5040989725819,93.2589899051069,87.9809799328131,10.4132072486019,-14.1576472228757,43.0679529107057,-31.7115878816157,-41.8860140078723,-35.7812593687164,-30.6050289875225,-30.2435683395193,-41.5095581518334,-30.8459806528508,-38.7090401125113,-37.9144731268832,12.7612694962007,79.4525197723985,-29.8391814938656,25.2142391968354,62.7397959761843,88.726542780197,90.3201500654111,94.7345621241949,10.480961045268,-25.2014067649578,-32.8243550862511,-21.4398708883116,-20.6171561546874,-21.176834602391,-30.6770262783785,-30.6490528199946,-30.3947625538272,-31.7552748056637,-34.3154946408262,-25.8470698349598,-34.7857741409993,-3.23305041084398,-38.4141938837254,-41.4984839108544,-39.2046974658826,-41.8375250684305,-30.7863208828177,-35.4082773713472,-38.4893063114341,-27.6739861122479,-23.9553997384558,-22.9143859828717,-27.8518127784555,-25.881815573963,-31.2343941164384,-32.1553765130412,-32.5360730181497,-35.1903908875199,-31.3494044254093,-34.0696759438434,92.4833798238758,93.7484406652592,92.8019224440174,93.5789459341546,86.5630469624592,83.9162135035042,68.496543120337,59.954046714688,18.9240522687624,20.4768425866966,77.4707050651918,52.3000372154107,37.7787625687362,0.553338375786729,16.8878339642435,37.8813609922373,-1.39485846270963,28.4902357291539,12.8603799337026,13.7819652787036,4.75958088885712,2.67578906627731,15.7886692618247,-2.77443740006937
"OPC1",26.2836113239932,31.7738579123968,30.6754140901515,55.7020963435963,42.274422255584,8.31631204075238,92.1758636274531,83.5768346626724,66.0740220403394,65.1200042286102,63.6076700216502,66.7460498598067,62.1769225939831,42.405024437511,47.4136331067535,-24.452862128622,-37.7326935008812,28.3108754280578,-42.7947379697525,-60.1528241565417,-52.7959444264964,-23.4782786698229,-20.2850842904718,-39.4946970726069,-43.8432596063179,-37.2668917811279,-53.0254315622028,16.150250540113,62.5739992263723,-18.5860638142099,71.7700455144261,71.1719581737491,43.8986403494999,44.4231651686631,45.7661118482372,-16.4124536963306,-36.697222643173,-33.354352849982,-36.3493822545084,-31.6506450345272,-31.4330847902496,-43.3340732017466,-36.3131991923129,-38.4377347745329,-36.284763172422,-38.2153233752475,-48.6464647615271,-57.1580463349102,-38.3788939112303,-53.7305677785315,-46.214538956043,-48.8705312033295,-44.1334799822085,-22.2407887745241,-30.3956600720794,-27.3684541022077,-38.4355383054639,-37.6688291762853,-34.9997760097042,-34.0341330145702,-35.095874440739,-40.6880182946529,-39.2485180100842,-41.856408260303,-41.5926534171612,-39.2873911907088,-31.0602191980033,45.1486824668026,45.9238385160217,45.6254687560342,46.4637614344753,61.9462268208708,63.7421554845908,37.0530178729242,38.3062155683521,66.5184412575793,65.8003196510999,69.4760400087231,73.2901125282787,77.4156182925925,100.96232554728,99.7412240431882,94.1128944328098,30.7566542812318,47.7260341307983,42.5930050197518,28.3294714916754,20.6400169718699,43.7902458175486,67.2284278693495,33.1410505230743
"End",120.153324569047,88.9023386874998,69.8206023466905,43.5092268554099,24.3654511117061,61.1533416885006,22.6074090783261,28.1034016139545,17.3069774542932,16.4189778438575,12.485401229851,10.0338034978398,4.90104338355395,-1.55188967517552,-2.3179849532506,-24.1143216847833,-32.2770154087886,-4.11777385285053,-32.9302711596809,-49.182191622845,-45.5252097755469,-16.4698077916819,-12.936291437078,-21.5022581086635,-26.5938500481269,-21.1902253463825,-29.7781761730068,61.8879894811797,14.7625506157166,4.20505303574139,26.7524805306958,16.6674611038776,-0.386990195785718,1.64065840314359,-0.799975195675385,0.740443340724461,-14.3354285665104,-13.0086052857306,-8.96982275188608,-8.72533752013351,-4.53230073029177,-18.1434735072198,-11.7674770127068,-13.0894316276882,-12.2076747639009,-13.3455604157619,-44.5260902756891,-52.8889981900846,-35.6030061382381,-29.254619108277,-25.5707604300934,-31.5142352532292,-25.3399126131181,-14.8588196495758,-18.5950327177143,-8.02146459082756,-26.2174905595677,-11.6435121415038,-8.24120509151757,-11.2988622673048,-10.0675932415948,-15.0113440976221,-13.0105954685951,-14.1924233778679,-14.1310486744079,-12.4158191772096,-6.85356135292211,-0.53778961367772,-1.89085924126754,0.717650645782178,-0.449994681390364,7.58984545131121,11.8672643561135,8.75628879161253,2.12450843335795,16.9673633263323,14.5529366552307,8.57990729317796,13.3136241670187,21.6814880284205,28.8847847515406,28.0137153860125,24.3398251643169,111.440679481336,65.4136031509775,100.31654510755,89.6884461179328,86.0541749018859,67.2762522456046,55.8384073788368,41.9139538461952
"ExDp1",-22.6631038574382,-24.9214406067125,-15.0011430236551,-46.694105504824,-26.9756880485092,-23.8531310902728,5.30619231541228,-43.4737836792937,-54.0759962773411,-55.1415121860096,-52.1717461997747,-64.7616365994194,-64.9638569343555,-43.7718360990704,-50.2289715746046,-31.6251375875156,-31.6791600339357,-56.5027312200071,69.9256554709323,-0.930623956436184,14.5052524398045,156.232843510802,162.21874047677,123.523781122013,55.6184613131167,93.4091438596002,65.9667670848473,-22.0775787162844,-62.9574109499941,37.9594349606201,-65.0715933436361,-73.161625071672,-49.8741869569935,-45.8531427796149,-48.8559490336773,-47.1690139462199,-19.9306423935499,-19.5727875558044,-28.3552685685111,-31.341906163404,-28.3566779207482,-8.95718855930472,-4.61917096511652,-17.3246094260137,0.869385784118385,0.176334317231131,-10.7532381051694,-6.99123891141204,-24.1916491976925,76.3715578366006,96.5464735363766,101.883525396155,127.675172813056,164.994588551487,163.455403782123,112.102747862402,47.4847629159699,-25.3219098709059,-27.8410572228371,-27.1639935403893,-27.616841000992,-7.05860663518206,-7.9132562175014,-7.63627278755867,-4.06579971262124,-16.0992530031004,1.02310741127134,-49.7898508373983,-48.7882874848231,-48.6513424576311,-49.6085165646031,-67.6408344017265,-66.6944631086816,-68.0715676953913,-70.3372727420686,-55.5092074866101,-54.6921776171668,-72.2131244069376,-69.0488636271503,-71.9568113554967,-20.3673552674345,-45.5780963148763,-68.7782685886383,-26.0307905886979,-28.8838098237541,-30.7042547758657,-31.2094910885862,-31.2729003430175,-37.0010658330207,-54.0658100398703,-38.3111571774208
"Per",100.322958480784,129.809478066928,81.1226793371215,85.0565732743777,38.8230790961672,54.4697790453744,37.3645742334403,65.1287509594292,51.3976111245582,55.0782924415366,46.6711894124648,46.5570846844423,32.4509985981749,14.4029833967317,19.4239641377352,-30.2963966487056,-38.6052997377524,11.9721530635636,-55.2371093596722,-54.1118036653266,-51.972108368154,-34.5922303611697,-28.8869722370943,-44.9211862746358,-40.2851097598683,-37.4026350860273,-43.2879777368998,56.2919267845518,46.7722003834386,-3.91875764556533,78.5660840752316,58.5072002730016,20.3779543244758,17.9171653760951,18.7383359347045,-7.81240397850192,-35.171544057248,-31.8478128766641,-25.1363174913533,-19.9665441067803,-20.3946950468514,-34.8766416507847,-29.7201806693011,-26.0935212016545,-25.2923865841922,-38.1436408476328,-50.8894641659971,-56.3490872002027,-45.4419946578928,-45.4200451640017,-43.562969754463,-55.1018346611218,-51.2269227574385,-32.6873058862323,-43.370188524652,-24.3344831280299,-44.5157930718514,-31.4120797598392,-26.4763733392535,-27.6236538297871,-28.2601369037683,-33.2125353062179,-26.8298625272101,-31.3128410869537,-37.6262015099322,-34.4688190130571,-25.5286818190164,19.8843970194677,17.7342800146881,19.3266661531517,19.1433755720528,39.9514307890968,45.5738448469854,29.3180977150583,23.4689253511774,53.9344840107868,50.4571274944034,42.9713006152456,51.1813735315488,72.4606132585376,55.7654272599894,68.1713837123923,62.9636125778479,126.593418627609,92.0537950795981,127.431520237609,103.558471659489,85.6223900806948,78.8376285614199,83.4677395645412,51.4039524550522
"Mic",81.7639565143839,61.5291907765506,68.6004911360788,51.9513309560769,24.2525332594355,141.986818846684,29.7592011435221,46.8354362202069,35.4590094185268,35.7410206910672,28.37974136977,31.2797830277556,25.3660821178243,9.96009911541601,12.1665603468829,-24.5352679882284,-35.1106387579558,8.31293453032031,-44.1033755569752,-47.6097738556021,-46.8241376822761,-18.4352165255853,-15.2288983511419,-26.9159410490364,-34.1588625487519,-26.0575412892926,-40.5945175974788,42.8882880763927,31.9936003223202,0.948871837356551,44.3444516370544,37.3963599559284,12.5468817566921,12.8662109912973,11.4184882166799,-1.9388926473813,-15.8227055941576,-10.8937075196638,-9.0420267526442,-4.10689567890129,-2.64535642572948,-14.6403226493134,-10.9793952376362,-12.4604155302285,-12.8092444695079,-15.0307306757812,-45.1006527764142,-49.715836667657,-35.8160230736059,-41.3248422551634,-34.5722529438196,-42.4357302963868,-32.7293641934898,-17.1927653468787,-23.1193739951266,-11.5717278172906,-31.2786208262119,-12.5250220153643,-7.19001527144247,-7.772360034884,-7.74640321729656,-13.0774297016345,-13.142415460434,-13.4396171527552,-14.8134384516996,-11.6781814482211,-5.69947731199306,12.1174211635552,11.3132077999972,12.782490584071,12.4204930657451,25.3231023087298,29.9553503023635,18.6611089729146,16.3256274082502,36.0018935462605,32.1122198874416,32.8952688445038,36.4611882290868,43.5043386871034,45.7688240046479,51.2859459499925,48.5738620438268,77.6236216543761,68.7886711272876,85.7040110720164,72.7276679022035,124.568526969484,75.9999916212639,70.1952534195984,49.428439751691
"ExM",-55.0691944514022,-53.7422138450634,-60.0759554191907,-76.3363482256063,-69.1754056090395,-56.0419117993526,-47.031893781679,-77.8370205260979,-82.0023481912546,-87.504775641229,-79.5957186044407,-85.2909356770389,-74.4923451756209,-59.8874213712862,-62.3583816570905,-52.0660614137412,-26.5117813541573,-109.900733541924,73.9992737662791,108.092510639841,47.3740752317445,46.1602806603701,23.0167618528939,123.455140249487,134.470751699642,119.166671995758,135.709469704809,-69.3361003489761,-98.7997245151186,-7.64035143795163,-112.618969709858,-105.762302485748,-62.7005888688386,-61.7238050794126,-67.9095057357996,-83.5188180817673,-56.4455438565476,-41.6635885418246,-48.090876014791,-43.2740380364546,-49.4671164271893,-27.7929185171835,-34.3454111522187,-38.5519689340057,-34.4914135094455,-47.7910288673317,9.20707512665996,60.4415210348398,-8.8525888307638,149.594349892003,137.502247125597,113.127021310621,121.291330859559,35.6013715616894,72.8121761805152,25.2183425748672,11.0348271271872,-54.5490037703044,-53.1103939161544,-44.6051986636126,-49.2829515226075,-32.0464953550518,-37.8321554628954,-36.6395631071945,-45.372898692876,-48.5734476437178,-47.5474632817649,-65.7879384886057,-62.6403028568215,-64.7576065805574,-64.8382073238747,-88.9579285941936,-97.5637090528746,-112.048032126808,-127.725325764969,-85.7876391037349,-83.1007745763313,-82.844180975485,-87.0995668766997,-102.678244990871,-71.0918003797752,-91.4555811550751,-123.97671623488,-59.7457721314533,-77.7695846109795,-75.5732826725317,-83.2228669122295,-79.6788272157385,-97.2445239854593,-120.760505496139,-111.821599272197
"IP",-1.75735804915789,-0.0126276388677123,-2.46609912350182,17.5389623502285,6.72120009990566,10.8555221898351,-15.0852536130222,4.97829580426594,22.2088256738387,33.939145281719,24.4830508245158,39.5299267832395,38.866398597242,38.7911887692625,49.1004672011991,118.930067037106,93.7965660333722,136.848023743278,-9.40733387183427,3.54506996951037,19.3838016662856,-49.9428213210561,-51.2601437227884,-61.9118593165134,-37.2627834836712,-74.1039529435181,-55.9581532980498,13.8201881143155,50.1089309073931,-12.6042415595695,32.4526176550116,64.613102894774,44.9194784137985,35.5011173325223,39.7522275136212,44.1240174475874,-4.27252158570657,-14.1680169199507,-8.61973860737996,-2.79722458722029,-5.67622522380179,-32.5818286864082,-32.4343463951411,-18.1969275580732,-29.8935056791978,-8.63514796227744,62.1540068380267,36.5153204859304,99.0324391504121,-49.0207514656942,-66.9360001575,-39.9622155859842,-56.9287756044126,-51.8954277032582,-57.427832927416,-33.6612157548809,33.8587123050959,-6.78672646460457,-6.41552221412432,-9.0657293451206,-8.08985886132256,-33.1208093625945,-25.3009089899928,-29.3992594355456,-18.4424135300246,-12.9055510849739,14.341284779717,42.6344616746951,44.7694527617483,39.0589254548939,42.6833892501863,54.845354522199,54.1397068543612,68.1434579627319,123.581180015086,28.4161792246929,26.8820047288091,41.8251558239978,37.5244525141444,36.104477697423,-5.81413991947218,12.0505860035332,73.9719410379213,-0.9498761900929,7.07944958273059,3.25471038264178,9.74548985406861,11.3537683924877,12.2060418451201,38.9551021294781,34.7193151810421
"ExDp2",-18.6826438368565,-18.2935260614332,-11.2152084604853,-24.1550694621697,-20.2902157634204,-20.7912577347109,11.4645414132801,-29.7871940002867,-41.5387311274832,-43.8376809700997,-40.2505359716105,-50.3021278881364,-40.0616952142046,-26.7718772373219,-34.3219766499376,-40.7728670682668,-31.2966950643218,-57.9294121436024,41.7581563785773,-11.6184397084521,4.00613020479832,120.596727203704,130.119631766362,93.9696723000206,30.7053226635806,75.6819172451012,36.1262328043235,-17.7173159469292,-43.6387578754303,40.5241000275604,-50.4195560235265,-59.6459097279322,-35.2210658245867,-27.8566178106355,-32.7045207000096,-58.2361176628746,-12.3484063142978,-12.4744860579476,-22.0067946344933,-28.3653779403218,-25.1466941625855,-3.79191045339502,0.0611521503887108,-11.5822762375951,4.10203718398761,3.95248915772355,-17.5695452326397,-16.9186935210737,-34.7027034477853,36.5629344722312,63.6650767652692,61.1388908554318,87.654129616455,127.472082888231,122.953414791227,97.3311180047811,44.5595054224543,-17.9427352471799,-22.269450655197,-20.5322681637862,-21.2787008505047,-1.93053199616293,-3.50478440928896,-2.67043927261629,0.498437235132883,-9.78462160462858,3.57755216757548,-33.9959831050605,-30.6721184064278,-30.8149433715754,-31.270900359196,-46.4149617138693,-45.9868348174238,-64.6959810205531,-68.2431419279342,-43.3356433156681,-42.2968885524888,-48.9785786934359,-49.5535163863116,-51.5557098509014,-10.0067151758802,-30.1178007470621,-51.2858411487592,-19.6705676441391,-18.2402364527209,-20.6902562115289,-22.0378911423614,-24.6411494925023,-27.8705406151321,-38.9622284231398,-32.3918035278202
"ExM-U",-30.8277922941234,-35.2050700968176,-33.6908371747433,-49.7306647123403,-47.1776208854623,-35.1453884786524,-14.9493165878047,-42.8168204220781,-48.3068296230855,-53.4695155946987,-48.9840911095542,-60.2394679240015,-52.9547805277959,-39.8652359831988,-50.744966410585,-58.3091850876433,-49.8079151359319,-91.7979699766886,32.8570892141627,16.6779512882324,-8.50407922248194,68.253818202553,67.9761427961804,109.995448422811,55.5233857034891,132.013357597232,108.707144641173,-34.1477515336742,-70.9016512677048,11.6448184238665,-70.1956682101282,-96.0923766804718,-51.6136630426059,-41.4267016894639,-49.6168712319481,-73.901803226806,-45.0971380759019,-39.7318272939974,-44.1426733877232,-46.3755105700851,-49.8907380463002,-25.5942294416993,-22.7656825488895,-32.1221441652057,-17.5716963945201,-22.5844747328883,-32.9186758279719,-9.41500734781389,-44.4772339865702,89.6755461126832,122.910973846076,80.1974690793599,100.870232011967,69.2261364093419,82.7545545905898,47.4757823508508,10.8403035382138,-46.3733556638778,-49.675094226636,-45.3260264911774,-48.6135977470904,-25.256549695379,-25.0986963290643,-25.8397875577523,-26.7073078716309,-37.9731782686034,-30.8851049526107,-50.811847578088,-45.5856526983605,-45.9405541496977,-46.6880785304969,-71.5685075268222,-74.6288952843355,-108.411901863482,-118.428125162158,-51.2033688847819,-50.5795286015303,-60.5348081522644,-59.1384648856538,-67.0568711766217,-36.6524213138875,-53.9685699564344,-89.3446465790416,-36.3898311989762,-46.8726319634521,-45.7002035355558,-45.7863118758961,-47.4504813769071,-60.1559663760048,-81.8788817483363,-74.472242045113
"InCGE",-13.6420050910107,-12.9304125780803,-8.84362966229603,-31.8108562922288,9.12197871650316,3.96321220418691,-17.1443261867902,-37.5285219523663,-50.7048186320337,-49.2540754076589,-47.7689484147075,-53.0721841955054,-51.8371515167238,-38.1027777514902,-42.072689649067,-24.7388955438505,-14.8615316764222,-44.6808069945993,-24.8188658456112,-20.7063359899879,-16.9134598022885,-19.5868881118517,-11.0152570414017,-21.1846286324588,-27.4804974939016,-22.8137403310239,-23.6249334237337,-0.787916647351354,-49.4396884086497,23.3299210397861,-37.5823789736045,-39.9078377734761,-34.9259081143569,-36.3915242228051,-24.0516934273231,70.4948352998386,100.276484449348,125.99077520281,110.424269487573,98.7596821521856,98.88126450817,120.540382292671,119.983289034358,115.110888704944,116.536664958795,91.1140373531605,-17.7248121577385,-21.7212141731632,-26.9608191283721,-27.9379092218551,-26.8038232931194,-28.3506229939651,-24.6084563058041,-15.503036550746,-19.7637945129128,10.4970974609032,-4.50538987962573,108.791740568436,105.704350897387,118.738867881467,113.96110269321,122.986681035718,119.334758115327,123.109971717568,110.557135963568,114.790630651311,73.2153425756921,-30.093655299065,-40.8565190852145,-34.5713069101186,-38.3871294450991,-42.0553556726255,-46.2934345526606,12.8852832850042,-29.7686103719589,-50.8788550353235,-49.8862135892022,-55.5746165676332,-55.6352983402737,-49.7872618834262,-31.3669237526107,-41.0099557637495,-41.7065240990716,-14.4979825499309,-20.8170151427472,-19.3157313286693,-10.0001690878706,-1.80518952697729,5.94570575905715,-9.42081792711382,32.7732381016102
"InMGE",-16.6688039772097,-15.2241873219478,-9.29947401729641,-34.3484120874003,9.30184822546694,0.0712744088798428,-16.5504351081822,-45.0329337631329,-49.4830515012143,-48.5105495262577,-46.4695532881432,-52.6494503525222,-53.8838606337686,-37.6951068733236,-43.321961560657,-23.4030141406069,-16.5091926353256,-49.6243258067228,-21.1994555430891,-21.7817102242505,-16.1416634113411,-16.7019687610947,-10.718224437378,-18.6463156625432,-24.0675670188014,-21.5530657359889,-25.6496565274591,-7.36897405427594,-59.6330093567141,22.6907135407453,-39.5953213761902,-48.5568811825517,-36.4626394657213,-35.1252979445052,-25.6413829317606,70.8392308600702,141.589563599147,135.430245834187,135.242284780039,125.281485871264,134.124895757751,163.154923877386,159.910688770096,143.575305402018,129.857857852006,108.672751728829,-18.206985163236,-22.252419482449,-24.3613093591476,-26.9404218315646,-24.8867077665759,-24.9241526872347,-21.7276780233736,-13.8268898320174,-16.1991071515129,6.82186241949946,-6.15721353031853,144.700064419167,141.838655454229,136.882513726232,143.293641114467,167.802695036417,143.660527891625,160.726177566986,139.228467057309,142.886570029536,76.8640543769426,-31.6006402861594,-41.9167137360634,-34.7558320126452,-39.0780471007227,-48.6717735070182,-55.177630694238,3.6181502927028,-33.9318595306903,-49.9838428221691,-48.6564967947829,-57.322791706252,-55.9460340610429,-49.8491036482968,-34.0657368362243,-45.5330747899926,-50.9760271342533,-17.51788176306,-21.6361067162881,-22.0695315897441,-15.7505826609696,-7.31486497112968,3.63317297557693,-13.2100878441179,30.5915494655758
"oRG1",17.6915153376857,15.8774186586262,12.9767732063933,16.8865049257763,40.1702310222406,1.84153565628421,19.7508080985513,93.2786200273853,107.643344439864,106.050162675445,103.396573036374,105.071267420577,50.7548443449463,8.73114486795329,22.5932532794416,-20.2877362666934,-26.6666126324362,41.0685907930701,-46.819196096321,-43.5540807153848,-44.5776590240215,-40.2536637926067,-39.2693503730351,-41.7799983288686,-33.5713143351169,-39.325463991923,-42.6213788973951,13.3681869833139,46.0161150220763,-23.1501502097894,93.7528710863332,79.8002356746792,14.6738094532362,11.1335320700547,9.0475368316254,-20.3344785556272,-46.683717114853,-47.5812936543368,-39.100274972169,-34.3232001429005,-43.2826004790426,-48.2216255303307,-43.7783420223837,-41.8353724278718,-38.9090905829915,-44.1464896145317,-37.7004606104016,-42.6179977557408,-30.8161476811164,-41.262705546015,-42.7789073497603,-49.8753886958632,-46.6050026156118,-40.541503308849,-45.0630146135111,-37.4853015168271,-49.8536072043006,-44.9752494891827,-45.0871586166207,-42.7072334610454,-44.7759002392902,-47.0763566325535,-42.41240327224,-47.2115591900885,-48.4713783807244,-49.0298208900482,-47.7796869440215,11.940873281828,14.8163230864251,11.8016178622198,14.1576372429935,43.3682910129539,46.4213020512483,21.9733919764125,42.057419388524,109.27700312507,106.920281157401,85.8947884050741,107.813180588918,106.306982934624,60.8586056601184,90.1234960717473,98.4705591396065,18.3759361435121,16.1626665775221,19.6180220296498,18.4021236303419,10.8176726156315,36.5008572336327,65.176952365987,26.0749140594143
"PgS",-3.3764244226354,-2.28323554610389,-1.23416768927844,82.5290369005072,3.15150363661771,-1.92112423283145,-5.19693378210508,14.2458300010498,27.9353013663053,29.337429281135,29.465625702605,64.2305839482229,100.198087618946,87.7563994021003,100.369351607133,14.5742594376891,-11.6452604547979,58.0036526161181,-38.9461883332214,-42.2183076923577,-39.5116953596372,-41.0575022805085,-38.1439084098038,-45.1876415292305,-33.5347002339248,-52.0951703997215,-48.2871608190802,15.2439755602545,88.6643495574922,-33.0299708788372,36.8063401887622,77.7064855881843,99.7606443650665,84.9559817281792,90.0835991105427,16.6329445762515,-33.7603418288895,-42.0606146177523,-25.4195746337515,-24.5795589145969,-25.8488157671398,-41.3825988979682,-42.2642269653639,-33.8302234785862,-38.7240937585229,-45.849046480896,-25.9509914025303,-34.4979213804953,0.966289258390882,-45.1743347564104,-53.0211848381324,-51.5614430677627,-49.7935498307884,-40.1197536509644,-45.7746811564736,-46.2100254642592,-32.1153774358711,-30.264277297638,-28.9510487734624,-34.9793985534902,-32.9316584407492,-43.1261337623918,-37.6389325288088,-41.7224800929882,-47.2547920881194,-41.9052486824639,-41.9200115465914,95.8202274042258,97.3095321573255,91.6158450211327,95.3718819218531,99.2743966749113,96.1090358522787,79.0916065475847,79.5784379464763,29.753169551293,31.1443909671067,92.1150187837072,66.888938343436,52.4571325052246,4.47820603379718,26.5584496700754,57.3667924964284,-2.59358482617109,40.9541858944883,15.5155359455087,18.9414686247136,5.09037386030208,5.6414338023942,25.5242070364134,1.98122260373735
